3.3 -717.27 849.23 -1728.09
-2.9 -5.77 -17.99 42.94 -390.73 -666.03
-0.1 -6.82 -19.46 3.52 1109.64 -168.69
-2.0 -5.75 -16.82 33.66 1050.62 -139.44
-1.7 -5.7 -17.7 79.37 419.16 421.25
-0.6 -6.23 -17.11 42.12 -113.86 721.53
0.0 -8.97 -17.08 -21.84 -597.95 508.7
-0.8 -3.36 15.98 537.13 -2368.53 -645.6
2.2 -7.01 18.72 -439.95 1032.37 849.23
-0.2 -6.36 -15.29 -175.13 965.19 -331.25
-0.3 -6.79 -16.86 248.96 124.86 -122.84
3.6 -5.58 -15.28 453.79 -141.61 80.72
1.0 -5.48 -18.34 -240.59 702.01 -231.09
-0.5 -6.39 -16.53 -200.11 773.45 -363.5
-0.4 -6.06 -17.51 -67.7 151.41 -181.19
0.0 -5.79 -16.95 -215.75 224.8 -18.03
0.6 -6.37 -17.26 20.8 413.92 -3.96
1.0 -5.64 -15.78 -307.24 384.29 -240.51
-0.4 -6.59 -15.4 -187.92 -302.08 -511.25
-1.1 -4.33 -17.47 162.19 -360.51 -72.34
-0.5 -5.82 -17.68 185.83 -83.34 187.02
-1.0 -5.66 -16.92 144.83 -265.87 362.75
-0.3 -7.3 -17.91 370.9 -487.23 547.45
-0.8 -7.01 -18.64 105.33 -404.12 449.75
-5.2 -8.02 -18.93 194.5 636.1 1026.98
-6.7 -8.8 -16.67 372.55 -91.42 1836.27
-7.1 -3.92 -19.23 17.58 -420.13 1941.0
-9.9 -0.46 -13.94 -229.44 -1847.94 1906.14
-2.6 0.68 -19.2 668.42 -2368.53 1708.04
7.3 3.22 -15.96 1907.04 -481.7 87.08
-6.4 5.84 -3.86 -1274.67 1500.67 -347.34
-2.1 5.23 -7.51 -1010.07 -1289.71 556.88
0.9 1.74 -11.59 -445.71 411.38 -296.47
-2.0 2.75 -7.69 -330.21 -285.4 -551.49
-1.8 0.85 -9.1 51.09 -57.9 -236.85
-1.0 1.83 -9.41 747.04 131.81 45.56
0.4 3.31 -10.91 139.07 109.0 -497.78
-2.1 3.69 -7.6 166.08 208.12 -379.58
-1.0 4.5 -9.31 342.33 148.57 -196.82
-0.8 6.06 -11.5 79.82 194.88 98.97
1.3 3.73 -16.3 -2239.11 -493.89 -323.62
5.5 -8.22 -15.61 -2045.96 -565.41 -791.41
1.6 -11.95 -15.18 -1335.72 2007.88 -1739.76
-2.2 -6.83 -13.73 -930.4 1670.56 -1071.57
-0.4 -7.01 -15.69 -762.16 763.65 -626.0
-0.7 -6.0 -15.16 -746.97 52.37 -436.66
0.2 -6.05 -15.59 -354.3 -134.66 65.98
0.9 -5.83 -15.62 29.25 306.04 367.39
1.1 -6.56 -15.77 231.91 327.66 432.1
0.2 -6.0 -15.44 237.44 159.12 358.26
0.1 -6.78 -16.65 372.33 -408.46 325.72
0.1 -6.07 -17.93 348.61 -382.8 335.0
0.2 -5.96 -18.6 248.29 -67.93 201.31
-0.2 -5.22 -18.28 -127.77 98.9 99.8
-0.3 -6.29 -16.79 -463.82 -395.96 -9.95
-0.2 -7.33 -17.39 -360.21 -785.72 -135.85
0.2 -6.14 -18.76 -42.57 155.0 132.11
1.4 -6.42 -17.87 57.38 893.07 58.43
-1.0 -5.78 -14.61 -55.43 1108.75 -387.29
-1.3 -6.16 -16.31 -63.89 -581.42 -586.13
-0.8 -5.54 -18.19 30.9 -608.42 35.98
0.2 -6.33 -17.88 88.72 105.78 78.85
0.1 -6.1 -17.03 131.36 252.71 57.83
-0.0 -5.89 -16.7 122.01 27.01 159.49
0.5 -6.13 -16.92 172.51 -134.73 125.75
0.6 -6.18 -17.38 119.17 71.59 90.37
0.4 -5.49 -17.3 78.25 423.64 -0.6
1.2 -6.0 -17.3 12.12 277.32 -206.47
-0.1 -5.82 -16.58 -68.0 661.99 -268.27
-0.2 -5.67 -16.54 -19.15 379.88 -225.77
-0.3 -5.87 -16.28 58.5 494.79 -119.47
-0.3 -5.7 -16.54 65.53 314.87 -43.09
-0.2 -5.9 -15.99 20.87 199.44 -53.94
-0.2 -5.75 -16.02 38.68 -16.76 7.71
0.1 -5.9 -16.53 53.71 -2.32 18.63
0.0 -5.75 -16.35 102.26 39.2 9.35
-0.3 -5.92 -15.54 75.86 -3.22 -21.1
-0.0 -5.62 -15.74 126.73 -296.84 61.42
0.0 -5.49 -16.57 64.19 -117.15 21.32
-0.6 -5.45 -15.11 -34.64 90.15 8.9
-0.5 -5.44 -15.31 10.85 -326.99 111.69
-0.5 -5.47 -15.84 3.14 -388.63 203.26
-0.9 -4.82 -15.74 24.54 100.77 198.32
-3.1 -2.44 -13.26 -140.57 -102.04 418.56
-5.2 -0.54 -14.56 87.3 -1610.79 1219.54
-4.2 0.23 -13.75 507.28 -973.87 1608.1
-0.6 7.82 -8.73 1674.08 -1067.53 1975.86
3.8 8.47 9.87 -2428.9 -474.14 25.21
-17.1 -15.34 -13.05 -2428.83 -1050.84 -911.55
12.1 4.99 -1.18 1888.11 -180.14 1690.39
-3.2 2.97 -7.23 -935.71 -2368.61 -1110.17
1.3 8.4 -10.03 -21.32 -359.46 -491.65
-2.3 8.33 -11.3 -458.58 486.56 -343.3
-1.5 3.83 -4.88 -202.66 1033.64 -24.24
-5.9 5.52 -12.11 -76.45 1514.59 -258.69
-10.1 4.3 -13.91 -408.91 1910.93 -254.43
-9.5 3.01 -19.07 -687.5 2284.07 392.9
-15.3 3.47 17.05 -916.64 -2368.61 -133.31
-7.7 3.81 12.35 -1647.07 -790.88 1011.27
-6.2 4.91 13.28 -2428.83 721.91 1480.7
1 1 1 1 1 1
-0.8 -6.36 -15.87 -378.16 583.59 -87.98
0.1 -7.09 -13.68 127.47 297.22 999.23
0.7 -9.19 -14.75 713.23 -385.34 572.66
1.3 -9.34 -17.31 1334.07 -128.67 818.94
